time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2015-03-24T17:31:02.320Z,-32.25,-71.9165,21.43,3.9,mwr,,168,1.201,0.79,us,us10001s01,2015-06-09T21:30:05.040Z,"68 km WNW of La Ligua, Chile",earthquake,5.3,4.4,0.069,20,reviewed,us,us
2015-03-17T23:43:52.460Z,-29.5424,-71.6619,40.72,4.2,mb,,183,0.977,1.16,us,us10001nba,2015-06-04T00:46:25.040Z,"55 km NW of Coquimbo, Chile",earthquake,6.6,8.3,0.216,6,reviewed,us,us
2015-03-17T12:43:56.730Z,-30.5364,-72.2625,9.84,4.5,mb,,115,1.272,1.35,us,us10001n31,2015-06-04T00:46:24.040Z,"102 km W of Ovalle, Chile",earthquake,4.8,3,0.191,8,reviewed,us,us
2015-02-26T15:40:03.780Z,-30.2846,-71.6559,40.74,4,ml,,178,0.749,1.26,us,usc000ttcp,2015-05-19T00:28:43.040Z,"47 km SW of Coquimbo, Chile",earthquake,3.6,18.9,,,reviewed,us,guc
2015-02-17T14:35:54.000Z,-32.375,-71.013,72.6,5.4,mww,,,,0.88,us,usb000tq1p,2022-07-27T21:38:08.666Z,"22 km ENE of La Ligua, Chile",earthquake,5.2,3.7,,,reviewed,guc,us
2015-02-17T07:50:44.610Z,-30.9685,-71.4018,65.23,4.6,mb,,80,0.416,0.59,us,usc000trw7,2015-05-11T23:20:20.040Z,"45 km SSW of Ovalle, Chile",earthquake,5.7,5.3,0.117,24,reviewed,us,us
2015-02-16T20:33:47.000Z,-30.282,-71.53,35.5,4.8,mb,,,,1.51,us,usb000tpss,2015-05-11T23:20:19.040Z,"40 km SSW of Coquimbo, Chile",earthquake,6.2,6,0.175,11,reviewed,guc,us
2015-02-11T17:07:17.500Z,-30.1665,-71.6112,56.43,4.7,mb,,54,0.703,1.22,us,usc000tp13,2015-05-04T22:47:55.040Z,"35 km SW of Coquimbo, Chile",earthquake,4.2,5.5,0.209,8,reviewed,us,us
2015-01-26T01:17:15.840Z,-31.0733,-71.7793,10.91,4.3,mb,,85,0.68,1.13,us,usc000tj1h,2015-04-24T16:55:36.040Z,"76 km SW of Ovalle, Chile",earthquake,2.8,5.8,0.308,3,reviewed,us,us
2015-01-23T01:25:39.000Z,-29.841,-71.456,64.4,4.2,mb,,,,1.16,us,usc000tkxp,2015-04-24T16:55:52.040Z,"16 km NW of Coquimbo, Chile",earthquake,10.4,5,0.374,3,reviewed,guc,us
2015-01-21T17:33:38.000Z,-29.806,-71.246,59.1,4.1,ml,,,,0.59,us,usc000thv8,2015-04-20T16:05:39.040Z,"10 km N of La Serena, Chile",earthquake,7.3,9.3,,,reviewed,guc,guc
2015-01-18T14:14:45.000Z,-30.929,-71.746,27.2,4.6,mb,,,,0.86,us,usc000tgyf,2015-04-20T16:05:34.040Z,"63 km SW of Ovalle, Chile",earthquake,5.7,6.7,0.386,2,reviewed,guc,us
2015-01-06T02:12:14.560Z,-30.7366,-71.9782,34.63,4.3,mb,,106,0.96,0.55,us,usc000tc1z,2015-03-27T07:02:09.040Z,"76 km W of Ovalle, Chile",earthquake,5.3,3.1,0.237,5,reviewed,us,us
2015-01-01T21:08:22.000Z,-31.072,-71.347,61.2,4.5,mwr,,,,1.55,us,usc000tb6x,2022-07-27T12:17:51.550Z,"54 km SSW of Ovalle, Chile",earthquake,5.2,3.8,0.065,23,reviewed,guc,us
2014-12-27T22:06:07.170Z,-30.1588,-71.5814,22.49,4.4,mb,,86,0.677,1.14,us,usc000tab6,2022-07-27T11:39:08.792Z,"Near the coast of Coquimbo, Chile",earthquake,5.2,5.6,0.17,11,reviewed,us,us
2014-12-25T22:11:33.000Z,-30.89,-71.58,68,4.2,ml,,,,2,us,usc000t9zy,2015-03-17T02:37:10.040Z,"48 km SW of Ovalle, Chile",earthquake,6.2,7.1,,,reviewed,guc,guc
