time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2008-02-12T03:09:33.000Z,-35.257,-72.207,27.4,3.2,ml,5,200.7,,,us,usp000fyqg,2014-11-07T01:34:56.171Z,"20 km ENE of Constitución, Chile",earthquake,,,,,reviewed,guc,guc
2008-02-11T02:13:09.000Z,-33.954,-72.248,39.1,3.8,md,4,337.3,,,us,usp000fymz,2014-11-07T01:34:55.868Z,"71 km WSW of San Antonio, Chile",earthquake,,,,,reviewed,guc,guc
2008-02-09T21:21:10.400Z,-33.943,-72.18,31.5,4.5,ml,33,116,,,us,usp000fyjj,2014-11-07T01:34:55.541Z,"65 km SW of San Antonio, Chile",earthquake,,,,,reviewed,guc,guc
2008-02-09T04:44:02.600Z,-33.931,-72.132,22.3,3.5,ml,9,205.5,,,us,usp000fyg9,2014-11-07T01:34:55.184Z,"61 km SW of San Antonio, Chile",earthquake,,,,,reviewed,guc,guc
2008-02-08T23:22:24.900Z,-33.928,-72.07,45.7,3.6,md,7,215.5,,,us,usp000fyfu,2014-11-07T01:34:55.109Z,"56 km SW of San Antonio, Chile",earthquake,,,,,reviewed,guc,guc
2008-02-08T02:27:57.700Z,-33.891,-72.333,36.3,2.9,ml,4,345.5,,,us,usp000fye7,2014-11-07T01:34:54.857Z,"74 km WSW of San Antonio, Chile",earthquake,,,,,reviewed,guc,guc
2008-01-06T10:44:05.700Z,-35.25,-72.241,27.1,2.8,ml,4,231,,,us,usp000fw3f,2014-11-07T01:34:37.705Z,"18 km ENE of Constitución, Chile",earthquake,,,,,reviewed,guc,guc
2008-01-06T09:58:35.080Z,-36.233,-72.964,35,4.6,mb,29,145.9,,1.01,us,usp000fw3d,2014-11-07T01:34:37.691Z,"38 km W of Quirihue, Chile",earthquake,,,,4,reviewed,us,us
2008-01-04T23:50:12.400Z,-33.407,-72.036,42.9,3.1,md,9,264.6,,,us,usp000fvzp,2014-11-07T01:34:36.737Z,"43 km WNW of Cartagena, Chile",earthquake,,,,,reviewed,guc,guc
2008-01-02T19:37:44.300Z,-35.946,-72.536,15.1,3.5,ml,4,215.1,,,us,usp000fvvj,2014-11-07T01:34:35.806Z,"19 km W of Cauquenes, Chile",earthquake,,,,,reviewed,guc,guc
2007-12-26T12:58:43.600Z,-36.438,-72.981,10.5,4.3,ml,13,195.1,,,us,usp000fv9f,2014-11-07T01:34:29.192Z,"20 km N of Tomé, Chile",earthquake,,,,,reviewed,guc,guc
2007-12-25T00:25:07.900Z,-36.271,-72.983,26.1,3.4,ml,4,333.2,,,us,usp000fv68,2014-11-07T01:34:28.760Z,"38 km N of Tomé, Chile",earthquake,,,,,reviewed,guc,guc
2007-12-08T23:59:32.800Z,-34.879,-72.359,130,3.4,md,5,207.2,,,us,usp000fu2z,2014-11-07T01:34:22.543Z,"50 km N of Constitución, Chile",earthquake,,,,,reviewed,guc,guc
2007-12-03T01:39:13.600Z,-34.61,-72.377,47.6,3.3,md,5,224.6,,,us,usp000ftrq,2014-11-07T01:34:20.520Z,"80 km N of Constitución, Chile",earthquake,,,,,reviewed,guc,guc
2007-11-24T00:37:29.500Z,-35.604,-72.974,63.5,4,m,4,232.8,,,us,usp000ft62,2014-11-07T01:34:14.071Z,"59 km WSW of Constitución, Chile",earthquake,,,,,reviewed,guc,guc
2007-11-21T17:36:49.900Z,-36.784,-73.103,23.6,2.8,ml,5,286.5,,,us,usp000ft1m,2014-11-07T01:34:13.295Z,"6 km S of Talcahuano, Chile",earthquake,,,,,reviewed,guc,guc
2007-11-13T21:30:30.400Z,-33.358,-72.892,27.9,2.8,ml,6,328.4,,,us,usp000fsgf,2014-11-07T01:34:10.087Z,"121 km W of Cartagena, Chile",earthquake,,,,,reviewed,guc,guc
2007-11-08T11:49:38.900Z,-35.825,-72.881,50.9,4.7,mb,26,136,,,us,usp000fs6f,2014-11-07T01:34:08.464Z,"52 km WNW of Cauquenes, Chile",earthquake,,,,3,reviewed,guc,us
2007-11-05T07:14:28.800Z,-36.962,-72.343,70.6,3.3,md,9,344.5,,,us,usp000fs0b,2014-11-07T01:34:07.369Z,"9 km NE of Cabrero, Chile",earthquake,,,,,reviewed,guc,guc
2007-11-04T07:16:34.930Z,-38.487,-74.622,35,4.5,mb,8,200.3,,1.35,us,usp000frya,2014-11-07T01:34:06.940Z,"129 km SW of Lebu, Chile",earthquake,,,,1,reviewed,us,us
2007-11-01T12:17:43.400Z,-33.919,-72.393,32.3,2.7,ml,8,310.8,,,us,usp000frrt,2014-11-07T01:34:04.694Z,"81 km WSW of San Antonio, Chile",earthquake,,,,,reviewed,guc,guc
2007-11-01T08:24:36.100Z,-33.031,-72.122,44.7,3.2,md,9,287.9,,,us,usp000frrj,2014-11-07T01:34:04.454Z,"45 km W of Valparaíso, Chile",earthquake,,,,,reviewed,guc,guc
2007-11-01T06:33:14.800Z,-33,-72.194,25.6,2.5,ml,10,291.4,,,us,usp000frre,2014-11-07T01:34:04.404Z,"52 km W of Valparaíso, Chile",earthquake,,,,,reviewed,guc,guc
2007-10-27T21:35:32.700Z,-36.692,-73.986,38.5,4.7,mb,27,146.5,,,us,usp000frdr,2014-11-07T01:34:00.069Z,"77 km W of Talcahuano, Chile",earthquake,,,,2,reviewed,guc,us
2007-10-24T17:55:51.700Z,-35.456,-72.293,7.5,2.9,ml,6,340.6,,,us,usp000fr69,2014-11-07T01:33:58.952Z,"17 km SE of Constitución, Chile",earthquake,,,,,reviewed,guc,guc
2007-10-23T07:12:58.400Z,-34.868,-72.499,36.8,3.5,md,4,328.6,,,us,usp000fr3s,2014-11-07T01:33:58.625Z,"52 km N of Constitución, Chile",earthquake,,,,,reviewed,guc,guc
2007-10-20T19:56:21.300Z,-36.469,-73.006,40.8,5.2,mwc,145,102.4,,0.86,us,usp000fqyy,2022-07-14T01:57:27.337Z,"17 km NNW of Tomé, Chile",earthquake,,4.5,,,reviewed,us,gcmt
2007-10-13T01:38:01.100Z,-33.075,-72.951,25,3,ml,7,329.4,,,us,usp000fqe8,2014-11-07T01:33:55.261Z,"123 km W of Valparaíso, Chile",earthquake,,,,,reviewed,guc,guc
2007-10-12T22:57:40.200Z,-33.119,-72.135,15.1,3.8,ml,20,202.2,,,us,usp000fqe0,2014-11-07T01:33:55.226Z,"48 km W of Valparaíso, Chile",earthquake,,,,,reviewed,guc,guc
2007-10-12T22:28:19.700Z,-33.159,-72.027,28.8,2.8,ml,9,281.6,,,us,usp000fqdw,2014-11-07T01:33:55.210Z,"39 km WSW of Valparaíso, Chile",earthquake,,,,,reviewed,guc,guc
2007-10-12T22:14:22.000Z,-33.144,-72.011,15,3.5,ml,14,280.9,,,us,usp000fqdu,2014-11-07T01:33:55.207Z,"37 km WSW of Valparaíso, Chile",earthquake,,,,,reviewed,guc,guc
2007-10-10T14:31:29.800Z,-33.376,-72.315,29.5,2.5,ml,4,316.4,,,us,usp000fq8v,2014-11-07T01:33:53.434Z,"68 km WNW of Cartagena, Chile",earthquake,,,,,reviewed,guc,guc
2007-10-09T14:13:12.500Z,-33.064,-73.212,47.2,3.6,md,10,265.2,,,us,usp000fq6p,2014-11-07T01:33:53.057Z,"147 km W of Valparaíso, Chile",earthquake,,,,,reviewed,guc,guc
2007-10-09T12:54:28.000Z,-33.133,-72.492,44.2,3.2,m,6,283.9,,,us,usp000fq6h,2014-11-07T01:33:53.046Z,"81 km W of Valparaíso, Chile",earthquake,,,,,reviewed,guc,guc
2007-10-08T03:40:32.500Z,-34.632,-72.397,25.1,3,ml,9,218.8,,,us,usp000fq3d,2014-11-07T01:33:51.986Z,"77 km N of Constitución, Chile",earthquake,,,,,reviewed,guc,guc
2007-09-29T10:56:57.300Z,-35.628,-73.405,34.5,4.3,ml,17,195,,,us,usp000fpe4,2014-11-07T01:33:42.024Z,"95 km WSW of Constitución, Chile",earthquake,,,,,reviewed,guc,guc
2007-09-19T05:14:00.500Z,-34.487,-72.231,28.7,2.5,ml,7,314.7,,,us,usp000fnnj,2014-11-07T01:33:37.177Z,"81 km WNW of Santa Cruz, Chile",earthquake,,,,,reviewed,guc,guc
2007-09-17T05:09:33.300Z,-37.931,-74.462,16,3.8,ml,23,196.2,,,us,usp000fngs,2014-11-07T01:33:36.249Z,"79 km WSW of Lebu, Chile",earthquake,,,,,reviewed,guc,guc
2007-09-16T21:14:34.900Z,-33.886,-72.116,6.9,3.3,ml,10,205.6,,,us,usp000fnfs,2014-11-07T01:33:36.112Z,"57 km SW of San Antonio, Chile",earthquake,,,,,reviewed,guc,guc
2007-09-16T17:49:17.500Z,-34.506,-73.538,15.4,3.5,ml,6,273.3,,,us,usp000fnfc,2014-11-07T01:33:36.046Z,"137 km NW of Constitución, Chile",earthquake,,,,,reviewed,guc,guc
2007-09-08T09:48:33.000Z,-33.115,-72.194,11.7,2.9,ml,12,285.6,,,us,usp000fmpk,2014-11-07T01:33:31.765Z,"53 km W of Valparaíso, Chile",earthquake,,,,,reviewed,guc,guc
2007-09-03T01:05:15.500Z,-34.713,-72.308,26.5,3.1,ml,9,230.4,,,us,usp000fman,2014-11-07T01:33:29.688Z,"69 km N of Constitución, Chile",earthquake,,,,,reviewed,guc,guc
2007-08-30T11:06:24.400Z,-34.946,-72.56,0,3.1,ml,7,283.2,,,us,usp000fm0g,2014-11-07T01:33:24.575Z,"45 km NNW of Constitución, Chile",earthquake,,,,,reviewed,guc,guc
2007-08-28T09:57:00.400Z,-33.938,-72.123,39,3.6,md,6,301.6,,,us,usp000fkvw,2014-11-07T01:33:23.906Z,"61 km SW of San Antonio, Chile",earthquake,,,,,reviewed,guc,guc
2007-08-16T08:35:09.800Z,-36.461,-74.654,22.6,3.8,ml,8,263,,,us,usp000fjw4,2014-11-07T01:33:17.139Z,"140 km WNW of Talcahuano, Chile",earthquake,,,,,reviewed,guc,guc
