time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2010-08-08T15:32:22.890Z,-35.038,-74.089,10,4.6,mb,33,71.9,,0.94,us,usp000hhs8,2014-11-07T01:42:12.229Z,"156 km WNW of Constitución, Chile",earthquake,,,,6,reviewed,us,us
2010-08-07T22:50:06.000Z,-37.226,-73.806,5.3,4.3,mb,23,169,,,us,usp000hhqv,2014-11-07T01:42:11.989Z,"43 km W of Arauco, Chile",earthquake,,,,4,reviewed,guc,us
2010-08-06T21:05:28.270Z,-38.255,-73.501,23,5,mb,76,64.5,,1,us,usp000hhpa,2022-07-18T18:05:52.822Z,"51 km S of Cañete, Chile",earthquake,,16.7,,28,reviewed,us,us
2010-08-06T15:15:51.000Z,-35.102,-72.593,17.9,4.4,mb,27,145.6,,,us,usp000hhnu,2014-11-07T01:42:11.697Z,"30 km NNW of Constitución, Chile",earthquake,,,,8,reviewed,guc,us
2010-08-05T17:49:44.370Z,-37.51,-73.521,22.2,4.6,mb,26,162.3,,0.93,us,usp000hhm1,2014-11-07T01:42:11.407Z,"15 km WSW of Curanilahue, Chile",earthquake,,13,,3,reviewed,us,us
2010-08-05T16:50:29.000Z,-34.84,-72.259,23.3,4.3,mb,8,175.2,,,us,usp000hhky,2014-11-07T01:42:11.392Z,"56 km NNE of Constitución, Chile",earthquake,,,,3,reviewed,guc,us
2010-08-05T06:38:51.430Z,-37.501,-73.449,35,4.7,mb,48,134.4,,0.82,us,usp000hhk1,2022-07-18T17:51:54.795Z,"9 km WSW of Curanilahue, Chile",earthquake,,,,20,reviewed,us,us
2010-08-05T06:27:16.130Z,-37.432,-73.323,23.7,5.4,mwc,168,42.2,,0.94,us,usp000hhk0,2022-07-18T17:50:22.495Z,"5 km NNE of Curanilahue, Chile",earthquake,,,,,reviewed,us,gcmt
2010-08-05T06:01:47.440Z,-37.443,-73.281,18,5.9,mwc,231,35,,0.9,us,usp000hhjy,2022-08-09T03:35:58.879Z,"6 km NE of Curanilahue, Chile",earthquake,,,,,reviewed,us,gcmt
2010-08-05T05:26:07.420Z,-36.744,-73.549,35,4.1,mb,11,155.7,,0.52,us,usp000hhjw,2014-11-07T01:42:11.162Z,"38 km W of Talcahuano, Chile",earthquake,,,,2,reviewed,us,us
2010-08-04T21:09:13.000Z,-34.232,-72.33,15,4.5,mb,28,130.1,,,us,usp000hhht,2022-07-18T17:59:32.539Z,"97 km SW of San Antonio, Chile",earthquake,,,,6,reviewed,guc,us
2010-08-04T15:34:24.730Z,-36.733,-73.645,31,4.8,mb,74,132.9,,0.89,us,usp000hhh4,2022-07-18T17:45:42.434Z,"47 km W of Talcahuano, Chile",earthquake,,9.3,,34,reviewed,us,us
2010-08-02T06:59:55.000Z,-36.655,-72.953,32.5,4.6,mb,48,118.8,,,us,usp000hhc4,2014-11-07T01:42:08.626Z,"4 km S of Tomé, Chile",earthquake,,,,22,reviewed,guc,us
2010-08-01T18:27:30.000Z,-38.358,-73.659,47.3,4.2,mb,6,193.9,,,us,usp000hhaw,2014-11-07T01:42:08.270Z,"58 km NW of Carahue, Chile",earthquake,,,,1,reviewed,guc,us
2010-08-01T07:50:58.000Z,-36.772,-73.226,23.4,4,ml,4,231,,,us,usp000hh9b,2014-11-07T01:42:07.475Z,"11 km WSW of Talcahuano, Chile",earthquake,,,,,reviewed,guc,guc
2010-07-31T02:38:02.000Z,-34.685,-71.64,45.9,4,mb,16,150.5,,,us,usp000hh6u,2014-11-07T01:42:04.910Z,"25 km WSW of Santa Cruz, Chile",earthquake,,,,7,reviewed,guc,us
2010-07-30T12:10:54.000Z,-37.425,-73.642,15.9,5.1,ml,15,146.3,,,us,usp000hh5j,2014-11-07T01:42:04.734Z,"20 km N of Lebu, Chile",earthquake,,,,,reviewed,guc,guc
