time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2016-02-22T06:36:59.400Z,-30.4242,-72.2967,12,6,mww,,39,0.622,1.37,us,us10004rn7,2022-08-02T11:27:09.660Z,"105 km WSW of Coquimbo, Chile",earthquake,4.7,1.7,,,reviewed,us,us
2016-02-20T05:19:43.420Z,-30.7255,-71.6378,35.52,4.3,mb,,179,0.051,0.98,us,us10004ra9,2016-05-03T23:44:12.040Z,"44 km WSW of Ovalle, Chile",earthquake,7.9,9.2,0.307,3,reviewed,us,us
2016-02-19T09:26:09.540Z,-31.1107,-72.9461,10,4.6,mb,,143,1.208,1.01,us,us10004r07,2016-05-03T23:44:11.040Z,"176 km WSW of Ovalle, Chile",earthquake,5.8,1.5,0.112,24,reviewed,us,us
2016-02-19T05:33:08.350Z,-30.5929,-71.5928,23.62,4.9,mww,,82,0.088,0.7,us,us10004qzj,2022-08-07T09:50:26.516Z,"37 km W of Ovalle, Chile",earthquake,4.8,4.3,,,reviewed,us,us
2016-02-18T03:52:05.310Z,-30.3878,-71.7109,22.59,4.1,mb,,192,0.292,0.72,us,us10004qqd,2016-04-26T23:28:26.040Z,"54 km WNW of Ovalle, Chile",earthquake,2.9,12.2,0.524,1,reviewed,us,us
2016-02-18T01:32:31.210Z,-30.5832,-71.4573,50.77,4.6,mb,,129,0.177,0.78,us,us10004rrv,2016-04-26T23:28:26.040Z,"24 km W of Ovalle, Chile",earthquake,5.5,8.7,0.244,5,reviewed,us,us
2016-02-17T15:22:31.220Z,-30.5191,-72.0981,11.26,4.3,mb,,187,0.428,0.86,us,us200050vw,2016-04-26T23:28:25.040Z,"86 km W of Ovalle, Chile",earthquake,4.3,7,0.377,2,reviewed,us,us
2016-02-17T10:54:11.240Z,-31.2139,-71.6783,36.24,4.8,mb,,120,0.539,1.02,us,us200050u4,2016-04-26T23:28:25.040Z,"67 km NW of Illapel, Chile",earthquake,2,5.2,0.119,22,reviewed,us,us
2016-02-16T16:50:52.130Z,-30.2324,-71.3495,46.54,4.3,mb,,157,0.327,0.91,us,us200050lr,2016-04-26T23:28:24.040Z,"30 km S of Coquimbo, Chile",earthquake,6.7,8.6,0.377,2,reviewed,us,us
2016-02-16T15:49:34.870Z,-30.4432,-72.0521,18.17,4.2,mb,,201,0.427,0.83,us,us200050ks,2016-04-26T23:28:24.040Z,"83 km WNW of Ovalle, Chile",earthquake,4.4,8.8,0.526,1,reviewed,us,us
2016-02-12T21:43:15.000Z,-31.724,-71.314,55.1,4.3,mwr,,,,0.59,us,us20004zuf,2016-04-26T23:28:18.040Z,"16 km SW of Illapel, Chile",earthquake,4,5.6,0.057,30,reviewed,guc,us
2016-02-12T03:51:44.690Z,-30.6297,-71.5236,33.2,4,mb,,124,0.105,0.77,us,us20004zn5,2016-04-26T23:28:17.040Z,"31 km W of Ovalle, Chile",earthquake,6.7,7,0.258,4,reviewed,us,us
2016-02-10T13:15:01.250Z,-30.596,-71.8238,28.09,4.4,mb,,195,0.18,0.75,us,us20004z9q,2016-04-19T01:33:28.040Z,"59 km W of Ovalle, Chile",earthquake,3.5,6.8,0.309,3,reviewed,us,us
2016-02-10T07:25:39.780Z,-30.5747,-71.6581,29.44,4.4,mb,,120,0.1,1.16,us,us20004z81,2016-04-19T01:33:28.040Z,"44 km W of Ovalle, Chile",earthquake,3.4,5.2,0.22,6,reviewed,us,us
2016-02-10T01:14:06.380Z,-30.676,-71.6542,33.84,5.1,mwr,,138,0.016,1.4,us,us20004z6p,2016-04-19T01:33:28.040Z,"44 km W of Ovalle, Chile",earthquake,5.1,3.1,,,reviewed,us,guc
2016-02-10T01:04:36.970Z,-30.633,-71.5663,29.69,4.8,mb,,94,0.071,0.68,us,us20004z5t,2016-04-19T01:33:28.040Z,"35 km W of Ovalle, Chile",earthquake,6.1,4.6,0.153,13,reviewed,us,us
2016-02-10T00:59:55.990Z,-30.6031,-71.6034,21.41,4.7,mb,,126,0.075,0.78,us,us20004z5s,2016-04-19T01:33:28.040Z,"38 km W of Ovalle, Chile",earthquake,3.9,4.3,0.097,32,reviewed,us,us
2016-02-10T00:52:58.220Z,-30.6644,-71.5828,30.3,4.8,mb,,49,0.045,0.86,us,us20004z5p,2016-04-19T01:33:28.040Z,"37 km W of Ovalle, Chile",earthquake,5,4.4,0.125,20,reviewed,us,us
2016-02-10T00:47:09.280Z,-30.5812,-71.6663,28.79,5,mb,,183,0.096,1.01,us,us20004z5r,2016-04-19T01:33:27.040Z,"44 km W of Ovalle, Chile",earthquake,4.4,5.1,0.162,12,reviewed,us,us
